Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player,0.9245908983587502,0.9666012658227848,0.945129479328793,152723.0,12456.0,5277.0,158000
goalkeeper,0.9118431073876618,0.7090612970091797,0.7977677827752789,4789.0,463.0,1965.0,6754
ball,0.5626059322033898,0.5054725421147807,0.532511154559583,5311.0,4129.0,5196.0,10507
referee,0.9028824005478429,0.9607180710121886,0.930902788921339,14503.0,1560.0,593.0,15096
OVERALL_MICRO,0.9050292445415293,0.9315444139170086,0.9180954254694,177326.0,18608.0,13031.0,190357
OVERALL_MACRO,0.8254805846244111,0.7854632939897335,0.8015778013962485,,,,190357
OVERALL_WEIGHTED,0.902436808398483,0.9315444139170086,0.9159977544368086,,,,190357
