Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player_left,0.9271293375394322,0.9620798470623666,0.9442812987964349,73475.0,5775.0,2896.0,76371
goalkeeper_left,0.8700475435816165,0.2973997833152763,0.4432781590633831,549.0,82.0,1297.0,1846
player_right,0.9461015805705474,0.9620845532837594,0.9540261302137428,78534.0,4474.0,3095.0,81629
goalkeeper_right,0.9097696245733788,0.8689894050529747,0.8889120466861192,4265.0,423.0,643.0,4908
ball,0.5570441699811597,0.5065194632149995,0.5305817257365035,5322.0,4232.0,5185.0,10507
referee,0.9087092731829574,0.9607180710121886,0.933990211231324,14503.0,1457.0,593.0,15096
OVERALL_MICRO,0.91484326043161,0.9279826851652422,0.9213661304792305,176648.0,16443.0,13709.0,190357
OVERALL_MACRO,0.853133588238182,0.7596318538235942,0.7825115952879179,,,,190357
OVERALL_WEIGHTED,0.9123757777357122,0.9279826851652422,0.9185231763551021,,,,190357
