Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player,0.9468712212817413,0.9745391376494076,0.9605059732958539,112761.0,6327.0,2946.0,115707
goalkeeper,0.9230306674684305,0.6969353007945517,0.7942051481050316,3070.0,256.0,1335.0,4405
ball,0.5899672846237731,0.47968080390128565,0.5291384790936506,3246.0,2256.0,3521.0,6767
referee,0.923030719066415,0.9582219846784251,0.9402972027972027,10757.0,897.0,469.0,11226
other,0.75177304964539,0.9856297548605241,0.8529626920263349,1166.0,385.0,17.0,1183
OVERALL_MICRO,0.9282814039016164,0.9404973867095514,0.9343494680983848,131000.0,10121.0,8288.0,139288
OVERALL_MACRO,0.82693458841715,0.8190013963768388,0.8154218990636147,,,,139288
OVERALL_WEIGHTED,0.9251994247606687,0.9404973867095514,0.9317475280055807,,,,139288
