Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player_left,0.9194299156635551,0.9621322229642142,0.9402965019931026,73479.0,6439.0,2892.0,76371
goalkeeper_left,0.8144329896907216,0.29956663055254606,0.4380198019801981,553.0,126.0,1293.0,1846
player_right,0.9346759402615344,0.9614352742285217,0.9478667834173736,78481.0,5485.0,3148.0,81629
goalkeeper_right,0.8485361722719574,0.7145476772616137,0.7757991372635771,3507.0,626.0,1401.0,4908
ball,0.5562405364481938,0.48948320167507375,0.5207310281982485,5143.0,4103.0,5364.0,10507
referee,0.8795443528841493,0.9615792262851086,0.9187341772151899,14516.0,1988.0,580.0,15096
OVERALL_MICRO,0.903484772121823,0.9228922498253282,0.913085396943371,175679.0,18767.0,14678.0,190357
OVERALL_MACRO,0.8254766512033519,0.7314573721611796,0.7569079050112816,,,,190357
OVERALL_WEIGHTED,0.8999118714669294,0.9228922498253282,0.9095622466731278,,,,190357
