Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player,0.9419332114523407,0.9707105015254047,0.9561053675478509,112318.0,6924.0,3389.0,115707
goalkeeper,0.9161462979482605,0.6994324631101022,0.7932543769309991,3081.0,282.0,1324.0,4405
ball,0.523771021992238,0.4786463720998966,0.5001930352868504,3239.0,2945.0,3528.0,6767
referee,0.9348053761563972,0.9541243541778015,0.9443660730029977,10711.0,747.0,515.0,11226
other,0.8794835007173601,0.518174133558749,0.652127659574468,613.0,84.0,570.0,1183
OVERALL_MICRO,0.9220825292314678,0.933045201309517,0.9275314739216078,129962.0,10982.0,9326.0,139288
OVERALL_MACRO,0.8392278816533194,0.7242175648943908,0.7692093024686333,,,,139288
OVERALL_WEIGHTED,0.9196973406171379,0.933045201309517,0.9252778137372537,,,,139288
