Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player,0.9362507915624059,0.9638227848101266,0.9498367394036544,152284.0,10369.0,5716.0,158000
goalkeeper,0.9322603466572338,0.7804264139769026,0.8496131528046422,5271.0,383.0,1483.0,6754
ball,0.5520856082113998,0.48120300751879697,0.5142130689041444,5056.0,4102.0,5451.0,10507
referee,0.8979186082634358,0.9573396926338102,0.9266775672469622,14452.0,1643.0,644.0,15096
OVERALL_MICRO,0.9147706137631743,0.9301627993717069,0.9224024984566978,177063.0,16497.0,13294.0,190357
OVERALL_MACRO,0.8296288386736188,0.7956979747349091,0.8100851320898508,,,,190357
OVERALL_WEIGHTED,0.9118648342010279,0.9301627993717069,0.9203993198566691,,,,190357
